Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID,Lg,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,rec_pass_rating
2025,29,SFO,RB,17,17,,,,,,,,,,129,102,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,311.0,1202.0,71.0,728.0,2.3,474.0,1.5,10.0,31.1,924.0,48.0,204.0,2.0,720.0,7.1,2.3,11.0,9.3,7.0,5.4,3.0,104.9
2020,21,DET,RB,13,4,,,,,,,,,,57,46,,,,,,,,,,,,,,,D'Andre Swift,SwifDA00,NFL,114.0,521.0,31.0,331.0,2.9,190.0,1.7,9.0,12.7,357.0,15.0,6.0,0.1,351.0,7.6,0.9,2.0,23.0,5.0,8.8,0.0,104.5
2021,22,DET,RB,13,4,,,,,,,,,,78,62,,,,,,,,,,,,,,,D'Andre Swift,SwifDA00,NFL,151.0,617.0,28.0,385.0,2.5,232.0,1.5,9.0,16.8,452.0,18.0,-48.0,-0.8,500.0,8.1,0.0,8.0,7.8,6.0,7.7,2.0,88.7
2022,23,DET,RB,14,8,,,,,,,,,,70,48,,,,,,,,,,,,,,,D'Andre Swift,SwifDA00,NFL,99.0,542.0,21.0,369.0,3.7,173.0,1.7,5.0,19.8,389.0,17.0,-51.0,-1.1,440.0,9.2,0.5,3.0,16.0,3.0,4.3,0.0,96.7
2023,24,PHI,RB,16,15,,,,,,,,,,49,39,,,,,,,,,,,,,,,D'Andre Swift,SwifDA00,NFL,229.0,1049.0,50.0,642.0,2.8,407.0,1.8,21.0,10.9,214.0,8.0,-53.0,-1.4,267.0,6.8,0.6,2.0,19.5,1.0,2.0,1.0,83.2
2024,25,CHI,RB,17,17,,,,,,,,,,52,42,,,,,,,,,,,,,,,D'Andre Swift,SwifDA00,NFL,253.0,959.0,43.0,511.0,2.0,448.0,1.8,7.0,36.1,386.0,12.0,-19.0,-0.5,405.0,9.6,0.0,2.0,21.0,3.0,5.8,1.0,89.6
2025,26,CHI,RB,16,16,,,,,,,,,,48,34,,,,,,,,,,,,,,,D'Andre Swift,SwifDA00,NFL,223.0,1087.0,62.0,666.0,3.0,421.0,1.9,11.0,20.3,299.0,11.0,-58.0,-1.7,357.0,10.5,-0.6,1.0,34.0,4.0,8.3,0.0,94.0
2019,22,CHI,RB,16,8,242.0,889.0,50.0,496.0,2.0,393.0,1.6,28.0,8.6,35,25,185.0,7.0,29.0,1.2,156.0,6.2,2.7,6.0,4.2,2.0,5.7,0.0,93.2,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2020,23,CHI,RB,15,14,247.0,1070.0,59.0,480.0,1.9,590.0,2.4,29.0,8.5,68,54,438.0,25.0,42.0,0.8,396.0,7.3,0.9,11.0,4.9,3.0,4.4,0.0,103.3,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2021,24,CHI,RB,13,13,225.0,849.0,55.0,432.0,1.9,417.0,1.9,16.0,14.1,51,42,301.0,18.0,28.0,0.7,273.0,6.5,0.9,3.0,14.0,2.0,3.9,1.0,83.1,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2022,25,CHI,RB,16,16,201.0,801.0,41.0,405.0,2.0,396.0,2.0,20.0,10.1,40,34,316.0,10.0,33.0,1.0,283.0,8.3,1.3,6.0,5.7,1.0,2.5,1.0,97.5,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2023,26,DET,RB,14,14,219.0,1015.0,64.0,511.0,2.3,504.0,2.3,17.0,12.9,24,16,117.0,9.0,-32.0,-2.0,149.0,9.3,-0.8,3.0,5.3,2.0,8.3,1.0,60.6,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2024,27,DET,RB,14,14,185.0,775.0,52.0,347.0,1.9,428.0,2.3,19.0,9.7,38,36,341.0,16.0,-24.0,-0.7,365.0,10.1,-0.5,11.0,3.3,0.0,0.0,0.0,104.1,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2025,28,DET,RB,17,0,158.0,716.0,41.0,370.0,2.3,346.0,2.2,3.0,52.7,29,24,192.0,11.0,-7.0,-0.3,199.0,8.3,0.5,0.0,,0.0,0.0,0.0,94.3,,David Montgomery,MontDa01,,,,,,,,,,,,,,,,,,,,,,,
2023,22,MIA,RB,11,4,,,,,,,,,,37,27,,,,,,,,,,,,,,,De'Von Achane,AchaDe00,NFL,103.0,800.0,30.0,484.0,4.7,316.0,3.1,13.0,7.9,197.0,10.0,-65.0,-2.4,262.0,9.7,0.7,3.0,9.0,0.0,0.0,0.0,112.1
2024,23,MIA,RB,17,16,,,,,,,,,,87,78,,,,,,,,,,,,,,,De'Von Achane,AchaDe00,NFL,203.0,907.0,37.0,486.0,2.4,421.0,2.1,7.0,29.0,592.0,30.0,-73.0,-0.9,665.0,8.5,-0.4,5.0,15.6,2.0,2.3,0.0,118.0
2025,24,MIA,RB,16,16,,,,,,,,,,85,67,,,,,,,,,,,,,,,De'Von Achane,AchaDe00,NFL,238.0,1350.0,56.0,631.0,2.7,719.0,3.0,22.0,10.8,488.0,23.0,-64.0,-1.0,552.0,8.2,0.4,9.0,7.4,5.0,5.9,2.0,96.5
