Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID,Lg,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,rec_pass_rating
2018,30,BUF,RB,14,13,161.0,514.0,22.0,287.0,1.8,227.0,1.4,2.0,80.5,46,34,238.0,10.0,-50.0,-1.5,288.0,8.5,-1.1,4.0,8.5,2.0,4.3,1.0,76.2,,LeSean McCoy,McCoLe01,,,,,,,,,,,,,,,,,,,,,,,
2019,31,KAN,RB,13,9,101.0,465.0,24.0,265.0,2.6,200.0,2.0,5.0,20.2,34,28,181.0,6.0,-55.0,-2.0,236.0,8.4,-0.7,1.0,28.0,1.0,2.9,0.0,98.7,,LeSean McCoy,McCoLe01,,,,,,,,,,,,,,,,,,,,,,,
2020,32,TAM,RB,10,0,10.0,31.0,2.0,23.0,2.3,8.0,0.8,0.0,,19,15,101.0,3.0,-1.0,-0.1,102.0,6.8,1.0,0.0,,2.0,10.5,0.0,88.8,,LeSean McCoy,McCoLe01,,,,,,,,,,,,,,,,,,,,,,,
2019,27,NYJ,RB,15,15,245.0,789.0,36.0,287.0,1.2,502.0,2.0,16.0,15.3,78,66,461.0,20.0,21.0,0.3,440.0,6.7,0.6,12.0,5.5,2.0,2.6,1.0,90.2,,Le'Veon Bell,BellLe00,,,,,,,,,,,,,,,,,,,,,,,
2020,28,2TM,RB,11,4,82.0,328.0,21.0,163.0,2.0,165.0,2.0,9.0,9.1,20,16,138.0,7.0,2.0,0.1,136.0,8.5,0.5,2.0,8.0,1.0,5.0,0.0,95.4,,Le'Veon Bell,BellLe00,,,,,,,,,,,,,,,,,,,,,,,
2021,29,2TM,RB,8,0,39.0,101.0,9.0,58.0,1.5,43.0,1.1,3.0,13.0,7,5,30.0,3.0,4.0,0.8,26.0,5.2,0.7,1.0,5.0,1.0,14.3,0.0,119.0,,Le'Veon Bell,BellLe00,,,,,,,,,,,,,,,,,,,,,,,
2018,23,JAX,RB,8,8,133.0,439.0,23.0,213.0,1.6,226.0,1.7,3.0,44.3,26,22,185.0,10.0,-28.0,-1.3,213.0,9.7,-0.5,0.0,,2.0,7.7,0.0,109.1,,Leonard Fournette,FourLe00,,,,,,,,,,,,,,,,,,,,,,,
2019,24,JAX,RB,15,15,265.0,1152.0,55.0,360.0,1.4,792.0,3.0,16.0,16.6,100,76,522.0,23.0,-36.0,-0.5,558.0,7.3,0.1,8.0,9.5,6.0,6.0,1.0,83.0,,Leonard Fournette,FourLe00,,,,,,,,,,,,,,,,,,,,,,,
2020,25,TAM,RB,13,3,97.0,367.0,21.0,169.0,1.7,198.0,2.0,0.0,,47,36,233.0,9.0,-2.0,-0.1,235.0,6.5,0.1,5.0,7.2,7.0,14.9,0.0,86.6,,Leonard Fournette,FourLe00,,,,,,,,,,,,,,,,,,,,,,,
2021,26,TAM,RB,14,13,180.0,812.0,50.0,396.0,2.2,416.0,2.3,11.0,16.4,84,69,454.0,32.0,5.0,0.1,449.0,6.5,0.8,6.0,11.5,6.0,7.1,2.0,87.2,,Leonard Fournette,FourLe00,,,,,,,,,,,,,,,,,,,,,,,
2022,27,TAM,RB,16,9,189.0,668.0,40.0,382.0,2.0,286.0,1.5,4.0,47.3,83,73,523.0,27.0,-40.0,-0.5,563.0,7.7,-0.6,13.0,5.6,4.0,4.8,0.0,105.0,,Leonard Fournette,FourLe00,,,,,,,,,,,,,,,,,,,,,,,
2023,28,BUF,RB,2,0,12.0,40.0,2.0,20.0,1.7,20.0,1.7,0.0,,0,0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,,Leonard Fournette,FourLe00,,,,,,,,,,,,,,,,,,,,,,,
2018,29,NOR,RB,12,6,138.0,645.0,34.0,274.0,2.0,371.0,2.7,18.0,7.7,27,21,170.0,5.0,15.0,0.7,155.0,7.4,0.3,1.0,21.0,0.0,0.0,1.0,89.8,,Mark Ingram,IngrMa01,,,,,,,,,,,,,,,,,,,,,,,
2019,30,BAL,RB,15,15,202.0,1018.0,53.0,494.0,2.4,524.0,2.6,18.0,11.2,29,26,247.0,16.0,27.0,1.0,220.0,8.5,1.5,2.0,13.0,0.0,0.0,0.0,141.7,PB,Mark Ingram,IngrMa01,,,,,,,,,,,,,,,,,,,,,,,
2020,31,BAL,RB,11,9,72.0,299.0,14.0,173.0,2.4,126.0,1.8,6.0,12.0,8,6,50.0,2.0,1.0,0.2,49.0,8.2,1.5,1.0,6.0,0.0,0.0,0.0,90.6,,Mark Ingram,IngrMa01,,,,,,,,,,,,,,,,,,,,,,,
2021,32,2TM,RB,14,10,160.0,554.0,23.0,237.0,1.5,317.0,2.0,9.0,17.8,35,27,162.0,9.0,-2.0,-0.1,164.0,6.1,0.0,2.0,13.5,0.0,0.0,0.0,85.7,,Mark Ingram,IngrMa01,,,,,,,,,,,,,,,,,,,,,,,
2022,33,NOR,RB,10,3,62.0,233.0,12.0,139.0,2.2,94.0,1.5,4.0,15.5,18,16,68.0,2.0,-10.0,-0.6,78.0,4.9,-0.9,1.0,16.0,0.0,0.0,0.0,82.4,,Mark Ingram,IngrMa01,,,,,,,,,,,,,,,,,,,,,,,
2018,32,OAK,RB,6,6,90.0,376.0,20.0,90.0,1.0,286.0,3.2,6.0,15.0,20,15,84.0,6.0,-6.0,-0.4,90.0,6.0,-0.3,1.0,15.0,4.0,20.0,0.0,82.1,,Marshawn Lynch,LyncMa00,,,,,,,,,,,,,,,,,,,,,,,
2019,33,SEA,RB,1,0,12.0,34.0,2.0,20.0,1.7,14.0,1.2,0.0,,0,0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,,Marshawn Lynch,LyncMa00,,,,,,,,,,,,,,,,,,,,,,,
2018,25,LAC,RB,12,12,175.0,885.0,47.0,404.0,2.3,481.0,2.7,21.0,8.3,66,50,490.0,21.0,-47.0,-0.9,537.0,10.7,-0.3,10.0,5.0,6.0,9.1,1.0,110.0,PB,Melvin Gordon,GordMe00,,,,,,,,,,,,,,,,,,,,,,,
2019,26,LAC,RB,12,11,162.0,612.0,39.0,312.0,1.9,300.0,1.9,8.0,20.3,55,42,296.0,11.0,-25.0,-0.6,321.0,7.6,-0.9,8.0,5.3,4.0,7.3,0.0,94.2,,Melvin Gordon,GordMe00,,,,,,,,,,,,,,,,,,,,,,,
2020,27,DEN,RB,15,10,215.0,986.0,46.0,530.0,2.5,456.0,2.1,16.0,13.4,44,32,158.0,7.0,-9.0,-0.3,167.0,5.2,0.1,4.0,8.0,3.0,6.8,0.0,85.2,,Melvin Gordon,GordMe00,,,,,,,,,,,,,,,,,,,,,,,
2021,28,DEN,RB,16,16,203.0,918.0,48.0,462.0,2.3,456.0,2.2,20.0,10.2,38,28,213.0,9.0,27.0,1.0,186.0,6.6,0.3,4.0,7.0,3.0,7.9,0.0,104.4,,Melvin Gordon,GordMe00,,,,,,,,,,,,,,,,,,,,,,,
2022,29,DEN,RB,10,6,90.0,318.0,15.0,168.0,1.9,150.0,1.7,5.0,18.0,32,25,223.0,11.0,17.0,0.7,206.0,8.2,0.7,1.0,25.0,3.0,9.4,0.0,95.7,,Melvin Gordon,GordMe00,,,,,,,,,,,,,,,,,,,,,,,
2023,30,BAL,RB,4,0,26.0,81.0,4.0,29.0,1.1,52.0,2.0,1.0,26.0,3,3,46.0,3.0,18.0,6.0,28.0,9.3,6.0,0.0,,0.0,0.0,0.0,118.7,,Melvin Gordon,GordMe00,,,,,,,,,,,,,,,,,,,,,,,
2019,22,PHI,RB,16,11,179.0,818.0,30.0,445.0,2.5,373.0,2.1,16.0,11.2,63,50,509.0,19.0,89.0,1.8,420.0,8.4,2.0,4.0,12.5,3.0,4.8,0.0,116.2,AP ORoY-4,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2020,23,PHI,RB,12,11,164.0,867.0,39.0,497.0,3.0,370.0,2.3,9.0,18.2,52,28,197.0,8.0,-11.0,-0.4,208.0,7.4,1.9,3.0,9.3,7.0,13.5,2.0,46.7,,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2021,24,PHI,RB,12,12,137.0,754.0,34.0,471.0,3.4,283.0,2.1,12.0,11.4,34,26,158.0,6.0,-69.0,-2.7,227.0,8.7,-0.5,6.0,4.3,1.0,2.9,0.0,85.2,,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2022,25,PHI,RB,17,15,259.0,1269.0,65.0,837.0,3.2,432.0,1.7,13.0,19.9,26,20,78.0,2.0,-19.0,-1.0,97.0,4.9,0.9,2.0,10.0,2.0,7.7,0.0,78.7,PB,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2023,26,CAR,RB,16,5,129.0,432.0,24.0,208.0,1.6,224.0,1.7,8.0,16.1,41,27,154.0,8.0,-4.0,-0.1,158.0,5.9,0.6,4.0,6.8,4.0,9.8,1.0,62.4,,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2024,27,CAR,RB,11,2,55.0,205.0,12.0,124.0,2.3,81.0,1.5,2.0,27.5,30,24,148.0,5.0,-2.0,-0.1,150.0,6.3,1.4,1.0,24.0,0.0,0.0,1.0,84.4,,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2025,28,DAL,RB,4,0,20.0,117.0,5.0,81.0,4.1,36.0,1.8,1.0,20.0,8,8,30.0,0.0,-14.0,-1.8,44.0,5.5,-1.8,0.0,,0.0,0.0,0.0,82.3,,Miles Sanders,SandMi01,,,,,,,,,,,,,,,,,,,,,,,
2021,23,PIT,RB,17,17,307.0,1200.0,62.0,525.0,1.7,675.0,2.2,30.0,10.2,94,74,467.0,22.0,-32.0,-0.4,499.0,6.7,-0.1,17.0,4.4,7.0,7.4,0.0,98.0,PB,Najee Harris,HarrNa00,,,,,,,,,,,,,,,,,,,,,,,
2022,24,PIT,RB,17,17,272.0,1034.0,45.0,577.0,2.1,457.0,1.7,21.0,13.0,53,41,229.0,16.0,18.0,0.4,211.0,5.1,1.7,4.0,10.3,3.0,5.7,0.0,103.4,,Najee Harris,HarrNa00,,,,,,,,,,,,,,,,,,,,,,,
2023,25,PIT,RB,17,17,255.0,1035.0,52.0,417.0,1.6,618.0,2.4,30.0,8.5,38,29,170.0,10.0,-5.0,-0.2,175.0,6.0,0.2,6.0,4.8,2.0,5.3,0.0,84.3,,Najee Harris,HarrNa00,,,,,,,,,,,,,,,,,,,,,,,
2024,26,PIT,RB,17,17,263.0,1043.0,51.0,502.0,1.9,541.0,2.1,22.0,12.0,48,36,283.0,14.0,-46.0,-1.3,329.0,9.1,-1.5,7.0,5.1,4.0,8.3,0.0,89.1,,Najee Harris,HarrNa00,,,,,,,,,,,,,,,,,,,,,,,
2025,27,LAC,RB,3,0,15.0,61.0,3.0,30.0,2.0,31.0,2.1,0.0,,3,3,25.0,1.0,10.0,3.3,15.0,5.0,3.3,1.0,3.0,0.0,0.0,0.0,101.4,,Najee Harris,HarrNa00,,,,,,,,,,,,,,,,,,,,,,,
2018,23,CLE,RB,16,9,192.0,996.0,47.0,398.0,2.1,598.0,3.1,22.0,8.7,29,20,149.0,5.0,-32.0,-1.6,181.0,9.1,1.6,0.0,,3.0,10.3,0.0,104.0,,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2019,24,CLE,RB,16,16,298.0,1494.0,62.0,612.0,2.1,882.0,3.0,32.0,9.3,49,36,278.0,13.0,-40.0,-1.1,318.0,8.8,-0.6,8.0,4.5,4.0,8.2,0.0,86.9,PB,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2020,25,CLE,RB,12,12,190.0,1067.0,56.0,556.0,2.9,511.0,2.7,21.0,9.0,18,16,150.0,6.0,17.0,1.1,133.0,8.3,2.7,4.0,4.0,0.0,0.0,0.0,101.4,PB,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2021,26,CLE,RB,14,14,228.0,1259.0,61.0,567.0,2.5,692.0,3.0,23.0,9.9,25,20,174.0,9.0,2.0,0.1,172.0,8.6,1.0,4.0,5.0,0.0,0.0,0.0,109.0,PB,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2022,27,CLE,RB,17,17,302.0,1525.0,69.0,830.0,2.7,695.0,2.3,28.0,10.8,37,27,239.0,12.0,-20.0,-0.7,259.0,9.6,0.0,3.0,9.0,4.0,10.8,0.0,98.8,"PB,AP-2",Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2023,28,CLE,RB,2,2,28.0,170.0,8.0,100.0,3.6,70.0,2.5,2.0,14.0,4,4,21.0,1.0,1.0,0.3,20.0,5.0,0.3,0.0,,0.0,0.0,0.0,88.5,,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2024,29,CLE,RB,8,8,102.0,332.0,17.0,170.0,1.7,162.0,1.6,4.0,25.5,11,5,31.0,3.0,0.0,0.0,31.0,6.2,-0.5,0.0,,0.0,0.0,2.0,43.2,AP CPoY-8,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2025,30,HOU,RB,15,9,122.0,506.0,20.0,251.0,2.1,255.0,2.1,5.0,24.4,20,13,67.0,1.0,4.0,0.3,63.0,4.8,0.7,1.0,13.0,2.0,10.0,0.0,70.2,,Nick Chubb,ChubNi00,,,,,,,,,,,,,,,,,,,,,,,
2025,22,CLE,RB,14,14,230.0,827.0,50.0,322.0,1.4,505.0,2.2,11.0,20.9,36,26,171.0,7.0,-23.0,-0.9,194.0,7.5,-0.5,0.0,,1.0,2.8,1.0,70.5,,Quinshon Judkins,JudkQu00,,,,,,,,,,,,,,,,,,,,,,,
2018,26,SFO,RB,9,0,34.0,261.0,13.0,143.0,4.2,118.0,3.5,5.0,6.8,7,6,25.0,1.0,-19.0,-3.2,44.0,7.3,-0.6,0.0,,0.0,0.0,0.0,81.5,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2019,27,SFO,RB,16,0,137.0,772.0,31.0,475.0,3.5,297.0,2.2,12.0,11.4,22,14,180.0,6.0,25.0,1.8,155.0,11.1,2.0,1.0,14.0,2.0,9.1,0.0,119.5,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2020,28,SFO,RB,8,8,104.0,521.0,22.0,346.0,3.3,175.0,1.7,5.0,20.8,19,16,156.0,5.0,20.0,1.3,136.0,8.5,1.1,1.0,16.0,0.0,0.0,0.0,118.4,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2021,29,SFO,RB,1,1,2.0,20.0,1.0,18.0,9.0,2.0,1.0,0.0,,0,0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2022,30,MIA,RB,16,14,181.0,891.0,44.0,512.0,2.8,379.0,2.1,16.0,11.3,42,31,202.0,11.0,23.0,0.7,179.0,5.8,1.1,8.0,3.9,2.0,4.8,1.0,89.6,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2023,31,MIA,RB,15,15,209.0,1012.0,59.0,547.0,2.6,465.0,2.2,16.0,13.1,32,25,175.0,6.0,-38.0,-1.5,213.0,8.5,-0.6,6.0,4.2,1.0,3.1,1.0,107.7,PB,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2024,32,MIA,RB,13,1,85.0,278.0,13.0,143.0,1.7,135.0,1.6,1.0,85.0,23,19,161.0,10.0,15.0,0.8,146.0,7.7,0.6,2.0,9.5,0.0,0.0,0.0,95.8,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2025,33,LVR,RB,12,0,22.0,104.0,5.0,36.0,1.6,68.0,3.1,2.0,11.0,12,12,70.0,6.0,-16.0,-1.3,86.0,7.2,-1.3,0.0,,0.0,0.0,0.0,91.0,,Raheem Mostert,MostRa00,,,,,,,,,,,,,,,,,,,,,,,
2020,22,DAL,RB,15,0,7.0,24.0,1.0,13.0,1.9,11.0,1.6,0.0,,0,0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,,Rico Dowdle,DowdRi01,,,,,,,,,,,,,,,,,,,,,,,
2023,25,DAL,RB,16,0,89.0,361.0,17.0,188.0,2.1,173.0,1.9,5.0,17.8,22,17,144.0,8.0,-26.0,-1.5,170.0,10.0,-0.5,2.0,8.5,3.0,13.6,0.0,124.1,,Rico Dowdle,DowdRi01,,,,,,,,,,,,,,,,,,,,,,,
2024,26,DAL,RB,16,15,235.0,1079.0,53.0,570.0,2.4,509.0,2.2,11.0,21.4,49,39,249.0,13.0,-23.0,-0.6,272.0,7.0,-0.1,3.0,13.0,2.0,4.1,0.0,108.2,,Rico Dowdle,DowdRi01,,,,,,,,,,,,,,,,,,,,,,,
2025,27,CAR,RB,17,11,236.0,1076.0,51.0,596.0,2.5,480.0,2.0,14.0,16.9,50,39,297.0,14.0,-53.0,-1.4,350.0,9.0,-1.0,3.0,13.0,2.0,4.0,1.0,89.7,,Rico Dowdle,DowdRi01,,,,,,,,,,,,,,,,,,,,,,,
2018,21,NYG,RB,16,16,,,,,,,,,,121,91,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,261.0,1307.0,50.0,571.0,2.2,736.0,2.8,30.0,8.7,721.0,30.0,-47.0,-0.5,768.0,8.4,0.1,13.0,7.0,4.0,3.3,1.0,97.2
2019,22,NYG,RB,13,13,,,,,,,,,,73,52,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,217.0,1003.0,45.0,398.0,1.8,605.0,2.8,16.0,13.6,438.0,14.0,0.0,0.0,438.0,8.4,0.8,8.0,6.5,4.0,5.5,0.0,95.6
2020,23,NYG,RB,2,2,,,,,,,,,,9,6,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,19.0,34.0,1.0,-1.0,-0.1,35.0,1.8,1.0,19.0,60.0,3.0,5.0,0.8,55.0,9.2,3.8,1.0,6.0,1.0,11.1,0.0,85.4
2021,24,NYG,RB,13,13,,,,,,,,,,57,41,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,162.0,593.0,27.0,314.0,1.9,279.0,1.7,4.0,40.5,263.0,13.0,-35.0,-0.9,298.0,7.3,0.5,4.0,10.3,6.0,10.5,0.0,92.9
2022,25,NYG,RB,16,16,,,,,,,,,,76,57,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,295.0,1312.0,65.0,749.0,2.5,563.0,1.9,12.0,24.6,338.0,14.0,-96.0,-1.7,434.0,7.6,-0.2,3.0,19.0,6.0,7.9,1.0,77.6
2023,26,NYG,RB,14,14,,,,,,,,,,60,41,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,247.0,962.0,51.0,480.0,1.9,482.0,2.0,12.0,20.6,280.0,16.0,54.0,1.3,226.0,5.5,2.5,3.0,13.7,5.0,8.3,3.0,79.9
2024,27,PHI,RB,16,16,,,,,,,,,,43,33,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,345.0,2005.0,99.0,1328.0,3.8,677.0,2.0,19.0,18.2,278.0,15.0,33.0,1.0,245.0,7.4,1.9,6.0,5.5,2.0,4.7,0.0,108.5
2025,28,PHI,RB,16,16,,,,,,,,,,50,37,,,,,,,,,,,,,,,Saquon Barkley,BarkSa00,NFL,280.0,1140.0,48.0,689.0,2.5,451.0,1.6,18.0,15.6,273.0,11.0,-23.0,-0.6,296.0,8.0,0.6,2.0,18.5,2.0,4.0,0.0,99.8
2018,24,LAR,RB,14,14,256.0,1251.0,70.0,634.0,2.5,617.0,2.4,17.0,15.1,81,59,580.0,26.0,-7.0,-0.1,587.0,9.9,0.6,8.0,7.4,7.0,8.6,1.0,103.9,"PB,AP-1,AP OPoY-3",Todd Gurley,GurlTo01,,,,,,,,,,,,,,,,,,,,,,,
2019,25,LAR,RB,15,15,223.0,857.0,51.0,483.0,2.2,374.0,1.7,21.0,10.6,49,31,207.0,8.0,11.0,0.4,196.0,6.3,0.6,1.0,31.0,7.0,14.3,0.0,86.0,,Todd Gurley,GurlTo01,,,,,,,,,,,,,,,,,,,,,,,
2020,26,ATL,RB,15,15,195.0,678.0,45.0,329.0,1.7,349.0,1.8,19.0,10.3,35,25,164.0,7.0,41.0,1.6,123.0,4.9,1.5,3.0,8.3,4.0,11.4,0.0,81.1,,Todd Gurley,GurlTo01,,,,,,,,,,,,,,,,,,,,,,,
2019,22,DAL,RB,15,0,,,,,,,,,,20,15,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,86.0,455.0,21.0,146.0,1.7,309.0,3.6,10.0,8.6,107.0,4.0,-28.0,-1.9,135.0,9.0,-0.9,1.0,15.0,1.0,5.0,1.0,82.7
2020,23,DAL,RB,16,2,,,,,,,,,,40,28,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,101.0,435.0,23.0,186.0,1.8,249.0,2.5,8.0,12.6,193.0,9.0,-39.0,-1.4,232.0,8.3,-0.4,4.0,7.0,4.0,10.0,0.0,88.9
2021,24,DAL,RB,15,0,,,,,,,,,,46,39,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,130.0,719.0,35.0,398.0,3.1,321.0,2.5,7.0,18.6,337.0,16.0,-4.0,-0.1,341.0,8.7,0.2,4.0,9.8,3.0,6.5,0.0,97.2
2022,25,DAL,RB,16,4,,,,,,,,,,55,39,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,193.0,1007.0,49.0,504.0,2.6,503.0,2.6,11.0,17.5,371.0,19.0,24.0,0.6,347.0,8.9,1.4,2.0,19.5,3.0,5.5,0.0,107.5
2023,26,DAL,RB,17,17,,,,,,,,,,67,55,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,252.0,1005.0,60.0,495.0,2.0,510.0,2.0,19.0,13.3,311.0,13.0,-10.0,-0.2,321.0,5.8,0.4,14.0,3.9,6.0,9.0,0.0,86.0
2024,27,TEN,RB,16,16,,,,,,,,,,57,41,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,260.0,1079.0,53.0,521.0,2.0,558.0,2.1,22.0,11.8,238.0,9.0,17.0,0.4,221.0,5.4,0.1,2.0,20.5,8.0,14.0,1.0,72.1
2025,28,TEN,RB,17,17,,,,,,,,,,41,33,,,,,,,,,,,,,,,Tony Pollard,PollTo00,NFL,242.0,1082.0,48.0,640.0,2.6,442.0,1.8,16.0,15.1,206.0,11.0,3.0,0.1,203.0,6.2,0.3,2.0,16.5,2.0,4.9,1.0,77.4
2022,23,JAX,RB,17,12,,,,,,,,,,45,35,,,,,,,,,,,,,,,Travis Etienne,EtieTr00,NFL,220.0,1125.0,52.0,738.0,3.4,387.0,1.8,14.0,15.7,316.0,16.0,-36.0,-1.0,352.0,10.1,0.3,0.0,,3.0,6.7,0.0,95.9
2023,24,JAX,RB,17,17,,,,,,,,,,73,58,,,,,,,,,,,,,,,Travis Etienne,EtieTr00,NFL,267.0,1008.0,53.0,573.0,2.1,435.0,1.6,31.0,8.6,476.0,23.0,-47.0,-0.8,523.0,9.0,-0.9,12.0,4.8,4.0,5.5,0.0,98.4
2024,25,JAX,RB,15,15,,,,,,,,,,52,39,,,,,,,,,,,,,,,Travis Etienne,EtieTr00,NFL,150.0,558.0,31.0,283.0,1.9,275.0,1.8,3.0,50.0,254.0,13.0,-42.0,-1.1,296.0,7.6,0.2,4.0,9.8,2.0,3.8,1.0,76.9
2025,26,JAX,RB,17,16,,,,,,,,,,52,36,,,,,,,,,,,,,,,Travis Etienne,EtieTr00,NFL,260.0,1107.0,48.0,562.0,2.2,545.0,2.1,10.0,26.0,292.0,14.0,-47.0,-1.3,339.0,9.4,-1.3,4.0,9.0,5.0,9.6,0.0,121.6
2025,23,NWE,RB,17,4,180.0,911.0,45.0,549.0,3.1,362.0,2.0,11.0,16.4,42,35,221.0,7.0,-23.0,-0.7,244.0,7.0,0.0,3.0,11.7,2.0,4.8,0.0,96.5,AP ORoY-3,TreVeyon Henderson,HendTr02,,,,,,,,,,,,,,,,,,,,,,,
