Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,rec_success,rec_long,R/G,Y/G.1,catch_pct,Y/Tgt,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,av,awards,Player,PlayerID
2022,28,TEN,NFL,RB,16,16,349,1538,13,65,46.7,56,4.4,96.1,21.8,41,33,398,12.1,0,11,61.0,69.0,2.1,24.9,80.5,9.7,382,5.1,1936,13,6,11.0,,Derrick Henry,HenrDe00
2023,29,TEN,NFL,RB,17,17,280,1167,12,63,46.1,69,4.2,68.6,16.5,36,28,214,7.6,0,7,44.4,46.0,1.6,12.6,77.8,5.9,308,4.5,1381,12,0,9.0,,Derrick Henry,HenrDe00
2024,30,BAL,NFL,RB,17,17,325,1921,16,106,58.8,87,5.9,113.0,19.1,22,19,193,10.2,2,11,68.2,27.0,1.1,11.4,86.4,8.8,344,6.1,2114,18,3,16.0,,Derrick Henry,HenrDe00
2025,31,BAL,NFL,RB,17,17,307,1595,16,79,53.1,59,5.2,93.8,18.1,21,15,150,10.0,0,4,52.4,44.0,0.9,8.8,71.4,7.1,322,5.4,1745,16,4,13.0,,Derrick Henry,HenrDe00
2017,22,PIT,NFL,RB,14,0,32,144,0,4,50.0,23,4.5,10.3,2.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,32,4.5,144,0,0,1.0,,James Conner,ConnJa00
2018,23,PIT,NFL,RB,13,12,215,973,12,56,48.4,30,4.5,74.8,16.5,71,55,497,9.0,1,20,52.1,29.0,4.2,38.2,77.5,7.0,270,5.4,1470,13,4,10.0,,James Conner,ConnJa00
2019,24,PIT,NFL,RB,10,10,116,464,4,26,43.1,25,4.0,46.4,11.6,38,34,251,7.4,3,14,55.3,26.0,3.4,25.1,89.5,6.6,150,4.8,715,7,1,4.0,,James Conner,ConnJa00
2020,25,PIT,NFL,RB,13,11,169,721,6,42,46.7,59,4.3,55.5,13.0,43,35,215,6.1,0,10,41.9,18.0,2.7,16.5,81.4,5.0,204,4.6,936,6,2,6.0,,James Conner,ConnJa00
2021,26,ARI,NFL,RB,15,6,202,752,15,53,50.0,35,3.7,50.1,13.5,39,37,375,10.1,3,18,71.8,45.0,2.5,25.0,94.9,9.6,239,4.7,1127,18,2,7.0,,James Conner,ConnJa00
2022,27,ARI,NFL,RB,13,13,183,782,7,48,55.2,23,4.3,60.2,14.1,58,46,300,6.5,1,13,44.8,22.0,3.5,23.1,79.3,5.2,229,4.7,1082,8,3,7.0,,James Conner,ConnJa00
2023,28,ARI,NFL,RB,13,13,208,1040,7,57,49.5,44,5.0,80.0,16.0,33,27,165,6.1,2,11,39.4,34.0,2.1,12.7,81.8,5.0,235,5.1,1205,9,0,9.0,,James Conner,ConnJa00
2024,29,ARI,NFL,RB,16,16,236,1094,8,67,51.7,53,4.6,68.4,14.8,55,47,414,8.8,1,17,56.4,44.0,2.9,25.9,85.5,7.5,283,5.3,1508,9,4,11.0,,James Conner,ConnJa00
2025,30,ARI,NFL,RB,3,3,32,95,1,7,43.8,12,3.0,31.7,10.7,9,8,38,4.8,1,4,55.6,18.0,2.7,12.7,88.9,4.2,40,3.3,133,2,1,,,James Conner,ConnJa00
2022,23,BUF,NFL,RB,16,0,89,507,2,25,50.6,33,5.7,31.7,5.6,32,21,180,8.6,1,5,46.9,41.0,1.3,11.3,65.6,5.6,110,6.2,687,3,1,5.0,,James Cook,CookJa01
2023,24,BUF,NFL,RB,17,13,237,1122,2,57,55.7,42,4.7,66.0,13.9,54,44,445,10.1,4,16,59.3,48.0,2.6,26.2,81.5,8.2,281,5.6,1567,6,4,13.0,,James Cook,CookJa01
2024,25,BUF,NFL,RB,16,16,207,1009,16,63,53.1,65,4.9,63.1,12.9,38,32,258,8.1,2,16,50.0,28.0,2.0,16.1,84.2,6.8,239,5.3,1267,18,1,11.0,,James Cook,CookJa01
2025,26,BUF,NFL,RB,17,17,309,1621,12,68,56.6,64,5.2,95.4,18.2,40,33,291,8.8,2,11,50.0,51.0,1.9,17.1,82.5,7.3,342,5.6,1912,14,6,16.0,,James Cook,CookJa01
2017,21,CIN,NFL,RB,14,7,178,626,4,39,41.0,25,3.5,44.7,12.7,34,30,287,9.6,0,10,55.9,67.0,2.1,20.5,88.2,8.4,208,4.4,913,4,3,7.0,,Joe Mixon,MixoJo00
2018,22,CIN,NFL,RB,14,13,237,1168,8,60,48.5,51,4.9,83.4,16.9,55,43,296,6.9,1,14,50.9,21.0,3.1,21.1,78.2,5.4,280,5.2,1464,9,0,11.0,,Joe Mixon,MixoJo00
2019,23,CIN,NFL,RB,16,15,278,1137,5,56,45.3,41,4.1,71.1,17.4,45,35,287,8.2,3,14,51.1,33.0,2.2,17.9,77.8,6.4,313,4.5,1424,8,0,7.0,,Joe Mixon,MixoJo00
2020,24,CIN,NFL,RB,6,6,119,428,3,20,46.2,34,3.6,71.3,19.8,26,21,138,6.6,1,5,46.2,19.0,3.5,23.0,80.8,5.3,140,4.0,566,4,1,3.0,,Joe Mixon,MixoJo00
2021,25,CIN,NFL,RB,16,16,292,1205,13,60,49.7,32,4.1,75.3,18.3,48,42,314,7.5,3,11,43.8,52.0,2.6,19.6,87.5,6.5,334,4.5,1519,16,2,10.0,,Joe Mixon,MixoJo00
2022,26,CIN,NFL,RB,14,14,210,814,7,47,52.4,40,3.9,58.1,15.0,75,60,441,7.4,2,17,50.7,35.0,4.3,31.5,80.0,5.9,270,4.6,1255,9,0,9.0,,Joe Mixon,MixoJo00
2023,27,CIN,NFL,RB,17,17,257,1034,9,59,49.4,44,4.0,60.8,15.1,64,52,376,7.2,3,14,54.7,45.0,3.1,22.1,81.3,5.9,309,4.6,1410,12,0,10.0,,Joe Mixon,MixoJo00
2024,28,HOU,NFL,RB,14,14,245,1016,11,52,42.4,59,4.1,72.6,17.5,52,36,309,8.6,1,12,53.8,37.0,2.6,22.1,69.2,5.9,281,4.7,1325,12,0,8.0,,Joe Mixon,MixoJo00
2022,23,SFO,NFL,RB,16,0,43,258,1,10,58.1,55,6.0,16.1,2.7,0,0,0,,0,0,,,0.0,0.0,,,43,6.0,258,1,0,2.0,,Jordan Mason,MasoJo00
2023,24,SFO,NFL,RB,17,0,40,206,3,13,55.0,26,5.2,12.1,2.4,4,3,31,10.3,0,1,50.0,13.0,0.2,1.8,75.0,7.8,43,5.5,237,3,0,2.0,,Jordan Mason,MasoJo00
2024,25,SFO,NFL,RB,12,6,153,789,3,37,47.1,38,5.2,65.8,12.8,14,11,91,8.3,0,5,64.3,24.0,0.9,7.6,78.6,6.5,164,5.4,880,3,3,5.0,,Jordan Mason,MasoJo00
2025,26,MIN,NFL,RB,16,5,159,758,6,45,56.0,24,4.8,47.4,9.9,16,14,51,3.6,0,1,31.3,13.0,0.9,3.2,87.5,3.2,173,4.7,809,6,3,5.0,,Jordan Mason,MasoJo00
2022,22,SEA,NFL,RB,15,11,228,1050,9,51,39.9,74,4.6,70.0,15.2,35,27,165,6.1,0,6,37.1,33.0,1.8,11.0,77.1,4.7,255,4.8,1215,9,0,8.0,,Kenneth Walker III,WalkKe00
2023,23,SEA,NFL,RB,15,15,219,905,8,46,46.6,45,4.1,60.3,14.6,37,29,259,8.9,1,9,43.2,64.0,1.9,17.3,78.4,7.0,248,4.7,1164,9,1,8.0,,Kenneth Walker III,WalkKe00
2024,24,SEA,NFL,RB,11,11,153,573,7,28,44.4,28,3.7,52.1,13.9,53,46,299,6.5,1,19,54.7,21.0,4.2,27.2,86.8,5.6,199,4.4,872,8,1,5.0,,Kenneth Walker III,WalkKe00
2025,25,SEA,NFL,RB,17,17,221,1027,5,46,43.9,55,4.6,60.4,13.0,36,31,282,9.1,0,12,44.4,46.0,1.8,16.6,86.1,7.8,252,5.2,1309,5,1,9.0,,Kenneth Walker III,WalkKe00
2025,23,CHI,NFL,RB,17,1,169,783,5,40,50.9,39,4.6,46.1,9.9,30,18,164,9.1,0,7,36.7,34.0,1.1,9.6,60.0,5.5,187,5.1,947,5,0,6.0,,Kyle Monangai,MonaKy00
2025,22,CLE,NFL,RB,14,14,230,827,7,50,40.9,46,3.6,59.1,16.4,36,26,171,6.6,0,7,33.3,58.0,1.9,12.2,72.2,4.8,256,3.9,998,7,0,4.0,,Quinshon Judkins,JudkQu00
2018,21,NYG,NFL,RB,16,16,261,1307,11,50,39.8,78,5.0,81.7,16.3,121,91,721,7.9,4,30,38.0,57.0,5.7,45.1,75.2,6.0,352,5.8,2028,15,0,14.0,,Saquon Barkley,BarkSa00
2019,22,NYG,NFL,RB,13,13,217,1003,6,45,43.3,68,4.6,77.2,16.7,73,52,438,8.4,2,14,34.2,65.0,4.0,33.7,71.2,6.0,269,5.4,1441,8,1,9.0,,Saquon Barkley,BarkSa00
2020,23,NYG,NFL,RB,2,2,19,34,0,1,26.3,18,1.8,17.0,9.5,9,6,60,10.0,0,3,44.4,38.0,3.0,30.0,66.7,6.7,25,3.8,94,0,0,1.0,,Saquon Barkley,BarkSa00
2021,24,NYG,NFL,RB,13,13,162,593,2,27,42.0,41,3.7,45.6,12.5,57,41,263,6.4,2,13,36.8,54.0,3.2,20.2,71.9,4.6,203,4.2,856,4,2,5.0,,Saquon Barkley,BarkSa00
2022,25,NYG,NFL,RB,16,16,295,1312,10,65,47.5,68,4.4,82.0,18.4,76,57,338,5.9,0,14,38.2,41.0,3.6,21.1,75.0,4.4,352,4.7,1650,10,1,11.0,,Saquon Barkley,BarkSa00
2023,26,NYG,NFL,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,17.6,60,41,280,6.8,4,16,43.3,46.0,2.9,20.0,68.3,4.7,288,4.3,1242,10,2,6.0,,Saquon Barkley,BarkSa00
2024,27,PHI,NFL,RB,16,16,345,2005,13,99,52.5,72,5.8,125.3,21.6,43,33,278,8.4,2,15,44.2,43.0,2.1,17.4,76.7,6.5,378,6.0,2283,15,2,18.0,,Saquon Barkley,BarkSa00
2025,28,PHI,NFL,RB,16,16,280,1140,7,48,46.1,65,4.1,71.3,17.5,50,37,273,7.4,2,11,36.0,47.0,2.3,17.1,74.0,5.5,317,4.5,1413,9,1,9.0,,Saquon Barkley,BarkSa00
2019,22,DAL,NFL,RB,15,0,86,455,2,21,50.0,44,5.3,30.3,5.7,20,15,107,7.1,1,4,40.0,21.0,1.0,7.1,75.0,5.4,101,5.6,562,3,1,3.0,,Tony Pollard,PollTo00
2020,23,DAL,NFL,RB,16,2,101,435,4,23,45.5,42,4.3,27.2,6.3,40,28,193,6.9,1,9,42.5,30.0,1.8,12.1,70.0,4.8,129,4.9,628,5,0,4.0,,Tony Pollard,PollTo00
2021,24,DAL,NFL,RB,15,0,130,719,2,35,53.8,58,5.5,47.9,8.7,46,39,337,8.6,0,16,58.7,32.0,2.6,22.5,84.8,7.3,169,6.2,1056,2,2,8.0,,Tony Pollard,PollTo00
2022,25,DAL,NFL,RB,16,4,193,1007,9,49,47.7,57,5.2,62.9,12.1,55,39,371,9.5,3,19,47.3,68.0,2.4,23.2,70.9,6.7,232,5.9,1378,12,0,11.0,,Tony Pollard,PollTo00
2023,26,DAL,NFL,RB,17,17,252,1005,6,60,50.0,31,4.0,59.1,14.8,67,55,311,5.7,0,13,43.3,60.0,3.2,18.3,82.1,4.6,307,4.3,1316,6,3,11.0,,Tony Pollard,PollTo00
2024,27,TEN,NFL,RB,16,16,260,1079,5,53,47.7,41,4.2,67.4,16.3,57,41,238,5.8,0,9,29.8,30.0,2.6,14.9,71.9,4.2,301,4.4,1317,5,2,7.0,,Tony Pollard,PollTo00
2025,28,TEN,NFL,RB,17,17,242,1082,5,48,46.7,65,4.5,63.6,14.2,41,33,206,6.2,0,11,43.9,29.0,1.9,12.1,80.5,5.0,275,4.7,1288,5,4,7.0,,Tony Pollard,PollTo00
2022,23,JAX,NFL,RB,17,12,220,1125,5,52,50.9,62,5.1,66.2,12.9,45,35,316,9.0,0,16,44.4,30.0,2.1,18.6,77.8,7.0,255,5.7,1441,5,5,11.0,,Travis Etienne,EtieTr00
2023,24,JAX,NFL,RB,17,17,267,1008,11,53,43.1,62,3.8,59.3,15.7,73,58,476,8.2,1,23,49.3,56.0,3.4,28.0,79.5,6.5,325,4.6,1484,12,0,9.0,,Travis Etienne,EtieTr00
2024,25,JAX,NFL,RB,15,15,150,558,2,31,45.3,22,3.7,37.2,10.0,52,39,254,6.5,0,13,38.5,26.0,2.6,16.9,75.0,4.9,189,4.3,812,2,1,5.0,,Travis Etienne,EtieTr00
2025,26,JAX,NFL,RB,17,16,260,1107,7,48,46.9,71,4.3,65.1,15.3,52,36,292,8.1,6,14,48.1,45.0,2.1,17.2,69.2,5.6,296,4.7,1399,13,1,10.0,,Travis Etienne,EtieTr00
