Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2023,23,SEA,RB,9.0,15,15,502,,0,,0,,Kenneth Walker III,WalkKe00
2024,24,SEA,RB,9.0,11,11,469,,0,,0,,Kenneth Walker III,WalkKe00
2025,25,SEA,RB,9.0,17,17,498,,0,,0,,Kenneth Walker III,WalkKe00
2025,23,CHI,RB,25.0,17,1,478,,0,,0,,Kyle Monangai,MonaKy00
2025,22,CLE,RB,10.0,14,14,452,,0,,0,,Quinshon Judkins,JudkQu00
2018*,21,NYG,RB,26.0,16,16,852,,0,,2,,Saquon Barkley,BarkSa00
2019,22,NYG,RB,26.0,13,13,728,,0,,1,,Saquon Barkley,BarkSa00
2020,23,NYG,RB,26.0,2,2,67,,0,,0,,Saquon Barkley,BarkSa00
2021,24,NYG,RB,26.0,13,13,513,,0,,0,,Saquon Barkley,BarkSa00
2022*,25,NYG,RB,26.0,16,16,856,,0,,2,,Saquon Barkley,BarkSa00
2023,26,NYG,RB,26.0,14,14,717,,0,,0,,Saquon Barkley,BarkSa00
2024*+,27,PHI,RB,26.0,16,16,801,,0,,0,,Saquon Barkley,BarkSa00
2025,28,PHI,RB,26.0,16,16,773,,0,,0,,Saquon Barkley,BarkSa00
2019,22,DAL,RB,20.0,15,0,199,,0,,115,,Tony Pollard,PollTo00
2020,23,DAL,RB,20.0,16,2,363,,0,,126,,Tony Pollard,PollTo00
2021,24,DAL,RB,20.0,15,0,374,,0,,100,,Tony Pollard,PollTo00
2022*,25,DAL,RB,20.0,16,4,569,,0,,6,,Tony Pollard,PollTo00
2023,26,DAL,RB,20.0,17,17,836,,0,,1,,Tony Pollard,PollTo00
2024,27,TEN,RB,20.0,16,16,701,,0,,0,,Tony Pollard,PollTo00
2025,28,TEN,RB,20.0,17,17,657,,0,,0,,Tony Pollard,PollTo00
2022,23,JAX,RB,1.0,17,12,669,,0,,0,,Travis Etienne,EtieTr00
2023,24,JAX,RB,1.0,17,17,856,,0,,0,,Travis Etienne,EtieTr00
2024,25,JAX,RB,1.0,15,15,494,,0,,0,,Travis Etienne,EtieTr00
2025,26,JAX,RB,1.0,17,16,691,,0,,0,,Travis Etienne,EtieTr00
2019,24,CIN,DB,41.0,4,0,0,,3,,64,,Trayvon Henderson,HendTr01
2020,25,CIN,DB,41.0,4,0,0,,0,,30,,Trayvon Henderson,HendTr01
2021,26,CIN,DB,41.0,2,0,0,,57,,29,,Trayvon Henderson,HendTr01
