Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%,Lng,Y/A,Y/G.1,A/G,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards,Player,PlayerID
2018,23,TEN,NFL,TE,13,12,30,20,258,12.9,3,10,56.7,61.0,1.5,19.8,66.7,8.6,0,0,0,0,,,,0.0,0.0,20,12.9,258,3,1,2.0,,Jonnu Smith,SmitJo01
2019,24,TEN,NFL,TE,16,14,44,35,439,12.5,3,16,56.8,57.0,2.2,27.4,79.5,10.0,4,78,0,2,100.0,57.0,19.5,4.9,0.3,39,13.3,517,3,0,4.0,,Jonnu Smith,SmitJo01
2020,25,TEN,NFL,TE,15,14,65,41,448,10.9,8,25,55.4,63.0,2.7,29.9,63.1,6.9,2,4,1,1,50.0,3.0,2.0,0.3,0.1,43,10.5,452,9,0,5.0,,Jonnu Smith,SmitJo01
2021,26,NWE,NFL,TE,16,11,45,28,294,10.5,1,15,40.0,28.0,1.8,18.4,62.2,6.5,9,40,0,2,44.4,9.0,4.4,2.5,0.6,37,9.0,334,1,1,3.0,,Jonnu Smith,SmitJo01
2022,27,NWE,NFL,TE,14,8,38,27,245,9.1,0,9,47.4,53.0,1.9,17.5,71.1,6.4,1,5,0,1,100.0,5.0,5.0,0.4,0.1,28,8.9,250,0,1,2.0,,Jonnu Smith,SmitJo01
2023,28,ATL,NFL,TE,17,6,70,50,582,11.6,3,26,51.4,60.0,2.9,34.2,71.4,8.3,1,0,0,0,0.0,,0.0,0.0,0.1,51,11.4,582,3,1,5.0,,Jonnu Smith,SmitJo01
2024,29,MIA,NFL,TE,17,6,111,88,884,10.0,8,55,63.1,57.0,5.2,52.0,79.3,8.0,2,-1,0,0,0.0,,-0.5,-0.1,0.1,90,9.8,883,8,2,8.0,,Jonnu Smith,SmitJo01
2025,30,PIT,NFL,TE,14,5,46,32,202,6.3,2,9,45.7,21.0,2.3,14.4,69.6,4.4,4,31,1,2,75.0,14.0,7.8,2.2,0.3,36,6.5,233,3,1,,,Jonnu Smith,SmitJo01
2021,21,ATL,NFL,TE,17,15,110,68,1026,15.1,1,43,50.9,61.0,4.0,60.4,61.8,9.3,0,0,0,0,,,,0.0,0.0,68,15.1,1026,1,0,8.0,,Kyle Pitts,PittKy00
2022,22,ATL,NFL,TE,10,10,59,28,356,12.7,2,20,42.4,33.0,2.8,35.6,47.5,6.0,0,0,0,0,,,,0.0,0.0,28,12.7,356,2,0,4.0,,Kyle Pitts,PittKy00
2023,23,ATL,NFL,TE,17,15,90,53,667,12.6,3,35,52.2,39.0,3.1,39.2,58.9,7.4,1,-4,0,0,0.0,-4.0,-4.0,-0.2,0.1,54,12.3,663,3,0,5.0,,Kyle Pitts,PittKy00
2024,24,ATL,NFL,TE,17,15,74,47,602,12.8,4,21,41.9,52.0,2.8,35.4,63.5,8.1,0,0,0,0,,,,0.0,0.0,47,12.8,602,4,0,5.0,,Kyle Pitts,PittKy00
2025,25,ATL,NFL,TE,14,14,97,73,797,10.9,4,39,52.6,36.0,5.2,56.9,75.3,8.2,0,0,0,0,,,,0.0,0.0,73,10.9,797,4,0,,,Kyle Pitts,PittKy00
2018,23,BAL,NFL,TE,16,3,50,34,552,16.2,3,28,64.0,74.0,2.1,34.5,68.0,11.0,0,0,0,0,,,,0.0,0.0,34,16.2,552,3,0,5.0,,Mark Andrews,AndrMa00
2019,24,BAL,NFL,TE,15,4,98,64,852,13.3,10,44,54.1,51.0,4.3,56.8,65.3,8.7,0,0,0,0,,,,0.0,0.0,64,13.3,852,10,2,11.0,,Mark Andrews,AndrMa00
2020,25,BAL,NFL,TE,14,2,88,58,701,12.1,7,37,56.8,39.0,4.1,50.1,65.9,8.0,0,0,0,0,,,,0.0,0.0,58,12.1,701,7,2,8.0,,Mark Andrews,AndrMa00
2021,26,BAL,NFL,TE,17,9,153,107,1361,12.7,9,75,62.1,43.0,6.3,80.1,69.9,8.9,1,0,0,0,0.0,,0.0,0.0,0.1,108,12.6,1361,9,1,10.0,,Mark Andrews,AndrMa00
2022,27,BAL,NFL,TE,15,15,113,73,847,11.6,5,48,56.6,36.0,4.9,56.5,64.6,7.5,3,8,0,3,100.0,4.0,2.7,0.5,0.2,76,11.3,855,5,1,8.0,,Mark Andrews,AndrMa00
2023,28,BAL,NFL,TE,10,9,61,45,544,12.1,6,27,62.3,38.0,4.5,54.4,73.8,8.9,1,0,0,0,0.0,,0.0,0.0,0.1,46,11.8,544,6,1,6.0,,Mark Andrews,AndrMa00
2024,29,BAL,NFL,TE,17,13,69,55,673,12.2,11,39,68.1,67.0,3.2,39.6,79.7,9.8,4,5,0,3,75.0,2.0,1.3,0.3,0.2,59,11.5,678,11,0,7.0,,Mark Andrews,AndrMa00
2025,30,BAL,NFL,TE,14,10,60,40,359,9.0,5,22,53.3,27.0,2.9,25.6,66.7,6.0,9,45,1,6,66.7,35.0,5.0,3.2,0.6,49,8.2,404,6,1,,,Mark Andrews,AndrMa00
2021,23,PIT,NFL,TE,16,9,79,60,497,8.3,7,34,55.7,24.0,3.8,31.1,75.9,6.3,0,0,0,0,,,,0.0,0.0,60,8.3,497,7,1,4.0,,Pat Freiermuth,FreiPa00
2022,24,PIT,NFL,TE,16,8,98,63,732,11.6,2,37,53.1,57.0,3.9,45.8,64.3,7.5,0,0,0,0,,,,0.0,0.0,63,11.6,732,2,0,6.0,,Pat Freiermuth,FreiPa00
2023,25,PIT,NFL,TE,12,9,47,32,308,9.6,2,17,48.9,29.0,2.7,25.7,68.1,6.6,0,0,0,0,,,,0.0,0.0,32,9.6,308,2,0,3.0,,Pat Freiermuth,FreiPa00
2024,26,PIT,NFL,TE,17,11,78,65,653,10.0,7,32,62.8,30.0,3.8,38.4,83.3,8.4,0,0,0,0,,,,0.0,0.0,65,10.0,653,7,3,6.0,,Pat Freiermuth,FreiPa00
2025,27,PIT,NFL,TE,14,5,40,31,352,11.4,4,14,52.5,68.0,2.2,25.1,77.5,8.8,0,0,0,0,,,,0.0,0.0,31,11.4,352,4,0,,,Pat Freiermuth,FreiPa00
2023,22,DET,NFL,TE,17,14,120,86,889,10.3,10,48,55.8,48.0,5.1,52.3,71.7,7.4,1,4,0,0,100.0,4.0,4.0,0.2,0.1,87,10.3,893,10,0,9.0,,Sam LaPorta,LaPoSa01
2024,23,DET,NFL,TE,16,16,83,60,726,12.1,7,39,56.6,52.0,3.8,45.4,72.3,8.7,0,0,0,0,,,,0.0,0.0,60,12.1,726,7,0,8.0,,Sam LaPorta,LaPoSa01
2025,24,DET,NFL,TE,9,9,49,40,489,12.2,3,23,69.4,40.0,4.4,54.3,81.6,10.0,0,0,0,0,,,,0.0,0.0,40,12.2,489,3,0,,,Sam LaPorta,LaPoSa01
2019,22,DET,NFL,TE,12,7,59,32,367,11.5,2,19,45.8,39.0,2.7,30.6,54.2,6.2,0,0,0,0,,,,0.0,0.0,32,11.5,367,2,0,3.0,,T.J. Hockenson,HockTJ00
2020,23,DET,NFL,TE,16,16,101,67,723,10.8,6,40,53.5,51.0,4.2,45.2,66.3,7.2,1,0,0,0,0.0,,0.0,0.0,0.1,68,10.6,723,6,1,6.0,,T.J. Hockenson,HockTJ00
2021,24,DET,NFL,TE,12,12,84,61,583,9.6,4,32,56.0,33.0,5.1,48.6,72.6,6.9,0,0,0,0,,,,0.0,0.0,61,9.6,583,4,0,5.0,,T.J. Hockenson,HockTJ00
2022,25,2TM,NFL,TE,17,14,129,86,914,10.6,6,44,47.3,81.0,5.1,53.8,66.7,7.1,0,0,0,0,,,,0.0,0.0,86,10.6,914,6,1,8.0,,T.J. Hockenson,HockTJ00
2023,26,MIN,NFL,TE,15,11,127,95,960,10.1,5,48,53.5,29.0,6.3,64.0,74.8,7.6,0,0,0,0,,,,0.0,0.0,95,10.1,960,5,1,7.0,,T.J. Hockenson,HockTJ00
2024,27,MIN,NFL,TE,10,9,62,41,455,11.1,0,30,54.8,34.0,4.1,45.5,66.1,7.3,0,0,0,0,,,,0.0,0.0,41,11.1,455,0,0,4.0,,T.J. Hockenson,HockTJ00
2025,28,MIN,NFL,TE,14,14,65,50,436,8.7,3,22,49.2,29.0,3.6,31.1,76.9,6.7,1,0,0,0,0.0,,0.0,0.0,0.1,51,8.5,436,3,0,,,T.J. Hockenson,HockTJ00
2013,24,KAN,NFL,TE,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,,,,0.0,0.0,0,,0,0,0,0.0,,Travis Kelce,KelcTr00
2014,25,KAN,NFL,TE,16,11,87,67,862,12.9,5,46,69.0,34.0,4.2,53.9,77.0,9.9,0,0,0,0,,,,0.0,0.0,67,12.9,862,5,4,9.0,,Travis Kelce,KelcTr00
2015,26,KAN,NFL,TE,16,16,103,72,875,12.2,5,40,55.3,42.0,4.5,54.7,69.9,8.5,0,0,0,0,,,,0.0,0.0,72,12.2,875,5,2,9.0,,Travis Kelce,KelcTr00
2016,27,KAN,NFL,TE,16,15,117,85,1125,13.2,4,55,63.2,80.0,5.3,70.3,72.6,9.6,1,-5,0,0,0.0,-5.0,-5.0,-0.3,0.1,86,13.0,1120,4,0,10.0,,Travis Kelce,KelcTr00
2017,28,KAN,NFL,TE,15,15,122,83,1038,12.5,8,53,54.1,44.0,5.5,69.2,68.0,8.5,2,7,0,2,100.0,4.0,3.5,0.5,0.1,85,12.3,1045,8,0,10.0,,Travis Kelce,KelcTr00
2018,29,KAN,NFL,TE,16,16,150,103,1336,13.0,10,68,62.7,43.0,6.4,83.5,68.7,8.9,0,0,0,0,,,,0.0,0.0,103,13.0,1336,10,2,14.0,,Travis Kelce,KelcTr00
2019,30,KAN,NFL,TE,16,16,136,97,1229,12.7,5,65,64.0,47.0,6.1,76.8,71.3,9.0,1,4,1,1,100.0,4.0,4.0,0.3,0.1,98,12.6,1233,6,1,13.0,,Travis Kelce,KelcTr00
2020,31,KAN,NFL,TE,15,15,145,105,1416,13.5,11,79,66.2,45.0,7.0,94.4,72.4,9.8,0,0,0,0,,,,0.0,0.0,105,13.5,1416,11,1,12.0,,Travis Kelce,KelcTr00
