Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds.1,1D.1,YBC.1,YBC/Att,YAC.1,YAC/Att,BrkTkl.1,Att/Br,awards,Player,PlayerID,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards
2021,25,DAL,NFL,TE,17,15,104,78,808.0,47.0,460.0,5.9,348.0,4.5,7.1,3.0,26.0,4.0,3.8,1.0,118.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2022,26,DAL,NFL,TE,15,15,89,57,577.0,32.0,373.0,6.5,204.0,3.6,7.2,5.0,11.4,6.0,6.7,5.0,77.8,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2023,27,HOU,NFL,TE,15,8,88,59,635.0,36.0,376.0,6.4,259.0,4.4,7.4,8.0,7.4,3.0,3.4,2.0,97.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2024,28,HOU,NFL,TE,17,13,85,53,532.0,30.0,318.0,6.0,214.0,4.0,8.1,0.0,,4.0,4.7,1.0,83.1,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2025,29,HOU,NFL,TE,17,6,106,82,777.0,39.0,419.0,5.1,358.0,4.4,6.2,3.0,27.3,2.0,1.9,0.0,106.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2018,26,OAK,NFL,WR,4,0,6,6,75.0,4.0,19.0,3.2,56.0,9.3,3.2,1.0,6.0,0.0,0.0,0.0,118.7,1.0,21.0,1.0,16.0,16.0,5.0,5.0,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2019,27,OAK,NFL,TE,16,16,117,90,1145.0,53.0,575.0,6.4,570.0,6.3,7.3,8.0,11.3,5.0,4.3,2.0,108.4,2.0,5.0,0.0,2.0,1.0,3.0,1.5,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2020,28,LVR,NFL,TE,16,15,145,107,1196.0,68.0,624.0,5.8,572.0,5.3,7.8,7.0,15.3,4.0,2.8,3.0,110.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2021,29,LVR,NFL,TE,11,11,93,55,665.0,36.0,423.0,7.7,242.0,4.4,9.8,3.0,18.3,5.0,5.4,2.0,79.4,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2022,30,LVR,NFL,TE,9,6,43,28,388.0,18.0,308.0,11.0,80.0,2.9,13.5,0.0,,3.0,7.0,2.0,97.8,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2023,31,NYG,NFL,TE,12,11,74,52,552.0,25.0,341.0,6.6,211.0,4.1,8.0,0.0,,3.0,4.1,2.0,85.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2025,33,MIA,NFL,TE,9,3,34,24,283.0,19.0,210.0,8.8,73.0,3.0,10.6,0.0,,0.0,0.0,0.0,135.2,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,,,Darren Waller,WallDa01,,,,,,,,,,,,,,,,,,,,,,
2018,22,CLE,NFL,TE,16,14,88,56,639.0,27.0,333.0,5.9,306.0,5.5,8.7,6.0,9.3,6.0,6.8,3.0,86.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2019,23,CLE,NFL,TE,4,1,10,5,41.0,3.0,25.0,5.0,16.0,3.2,6.4,0.0,,2.0,20.0,1.0,54.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2020,24,CLE,NFL,TE,13,5,29,19,213.0,13.0,126.0,6.6,87.0,4.6,7.4,2.0,9.5,1.0,3.4,0.0,110.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
