player_id,player_name,season,week
00-0024242,D.Williams,2016,20
00-0024243,M.Lewis,2015,11
00-0024243,M.Lewis,2015,12
00-0024243,M.Lewis,2015,13
00-0024243,M.Lewis,2015,14
00-0024243,M.Lewis,2015,15
00-0024243,M.Lewis,2015,16
00-0024243,M.Lewis,2015,17
00-0024243,M.Lewis,2016,1
00-0024243,M.Lewis,2016,2
00-0024243,M.Lewis,2016,3
00-0024243,M.Lewis,2016,4
00-0024243,M.Lewis,2016,6
00-0024243,M.Lewis,2016,7
00-0024243,M.Lewis,2016,8
00-0024243,M.Lewis,2016,9
00-0024243,M.Lewis,2016,10
00-0024243,M.Lewis,2016,11
00-0024243,M.Lewis,2017,1
00-0024243,M.Lewis,2017,2
00-0024243,M.Lewis,2017,3
00-0024243,M.Lewis,2017,4
00-0024243,M.Lewis,2017,5
00-0024243,M.Lewis,2017,6
00-0024243,M.Lewis,2017,7
00-0024243,M.Lewis,2017,9
00-0024243,M.Lewis,2017,10
00-0024243,M.Lewis,2017,11
00-0024243,M.Lewis,2017,12
00-0024243,M.Lewis,2017,13
00-0024243,M.Lewis,2017,14
00-0024243,M.Lewis,2017,15
00-0024243,M.Lewis,2017,16
00-0024243,M.Lewis,2017,17
00-0024243,M.Lewis,2017,18
00-0024243,M.Lewis,2017,19
00-0024243,M.Lewis,2017,20
00-0024243,M.Lewis,2018,2
00-0024243,M.Lewis,2018,9
00-0024243,M.Lewis,2018,10
00-0024243,M.Lewis,2018,12
00-0024243,M.Lewis,2019,1
00-0024243,M.Lewis,2019,2
00-0024243,M.Lewis,2019,3
00-0024243,M.Lewis,2019,4
00-0024243,M.Lewis,2019,5
00-0024243,M.Lewis,2019,6
00-0024243,M.Lewis,2019,8
00-0024243,M.Lewis,2019,13
00-0024243,M.Lewis,2019,14
00-0024243,M.Lewis,2019,15
00-0024243,M.Lewis,2019,16
00-0024243,M.Lewis,2019,17
00-0024243,M.Lewis,2019,20
00-0024243,M.Lewis,2020,2
00-0024243,M.Lewis,2020,3
00-0024243,M.Lewis,2020,6
00-0024243,M.Lewis,2020,7
00-0024243,M.Lewis,2020,9
00-0024243,M.Lewis,2020,11
00-0024243,M.Lewis,2020,12
00-0024243,M.Lewis,2020,13
00-0024243,M.Lewis,2020,14
00-0024243,M.Lewis,2020,17
00-0024243,M.Lewis,2020,20
00-0024243,M.Lewis,2021,1
00-0024243,M.Lewis,2021,4
00-0024243,M.Lewis,2021,5
00-0024243,M.Lewis,2021,6
00-0024243,M.Lewis,2021,7
00-0024243,M.Lewis,2021,8
00-0024243,M.Lewis,2021,9
00-0024243,M.Lewis,2021,10
00-0024243,M.Lewis,2021,12
00-0024243,M.Lewis,2021,14
00-0024243,M.Lewis,2021,15
00-0024243,M.Lewis,2021,16
00-0024243,M.Lewis,2021,18
00-0024243,M.Lewis,2021,20
00-0024243,M.Lewis,2022,5
00-0024243,M.Lewis,2022,9
00-0024243,M.Lewis,2022,10
00-0024243,M.Lewis,2022,13
00-0024243,M.Lewis,2022,15
00-0024243,M.Lewis,2022,16
00-0024268,A.Fasano,2015,10
00-0024268,A.Fasano,2015,11
00-0024268,A.Fasano,2015,12
00-0024268,A.Fasano,2015,14
00-0024268,A.Fasano,2015,15
00-0024268,A.Fasano,2015,16
00-0024268,A.Fasano,2016,2
00-0024268,A.Fasano,2016,4
00-0024268,A.Fasano,2016,5
00-0024268,A.Fasano,2016,6
00-0024268,A.Fasano,2016,7
00-0024268,A.Fasano,2016,9
00-0024268,A.Fasano,2016,10
00-0024268,A.Fasano,2016,12
00-0024268,A.Fasano,2016,14
00-0024268,A.Fasano,2016,16
00-0024268,A.Fasano,2017,5
00-0024268,A.Fasano,2017,7
00-0024268,A.Fasano,2017,8
00-0024268,A.Fasano,2017,9
00-0024268,A.Fasano,2017,13
00-0024268,A.Fasano,2017,14
00-0024268,A.Fasano,2017,15
00-0024268,A.Fasano,2017,17
00-0024313,O.Daniels,2015,10
00-0024313,O.Daniels,2015,11
00-0024313,O.Daniels,2015,12
00-0024313,O.Daniels,2015,13
00-0024313,O.Daniels,2015,14
00-0024313,O.Daniels,2015,15
00-0024313,O.Daniels,2015,16
00-0024313,O.Daniels,2015,17
00-0024313,O.Daniels,2015,19
00-0024313,O.Daniels,2015,20
00-0024313,O.Daniels,2015,21
