Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2019,26,LAR,TE,89.0,15,15,696,,0,,41,,Tyler Higbee,HigbTy00
2020,27,LAR,TE,89.0,15,15,814,,0,,38,,Tyler Higbee,HigbTy00
2021,28,LAR,TE,89.0,15,15,883,,0,,73,,Tyler Higbee,HigbTy00
2022,29,LAR,TE,89.0,17,17,888,,0,,14,,Tyler Higbee,HigbTy00
2023,30,LAR,TE,89.0,15,15,866,,0,,6,,Tyler Higbee,HigbTy00
2024,31,LAR,TE,89.0,3,3,58,,0,,0,,Tyler Higbee,HigbTy00
2025,32,LAR,TE,89.0,10,8,366,,0,,5,,Tyler Higbee,HigbTy00
2018,22,SEA,TE,88.0,4,4,127,,0,,29,,Will Dissly,DissWi00
2019,23,SEA,TE,88.0,6,6,249,,0,,71,,Will Dissly,DissWi00
2020,24,SEA,TE,89.0,16,12,557,,0,,213,,Will Dissly,DissWi00
2021,25,SEA,TE,89.0,15,14,512,,0,,181,,Will Dissly,DissWi00
2022,26,SEA,TE,89.0,15,15,569,,0,,180,,Will Dissly,DissWi00
2023,27,SEA,TE,89.0,16,14,380,,0,,178,,Will Dissly,DissWi00
2024,28,LAC,TE,81.0,15,8,540,,0,,10,,Will Dissly,DissWi00
2025,29,LAC,TE,89.0,9,2,189,,0,,63,,Will Dissly,DissWi00
2013,23,PHI,TE,86.0,16,3,450,,0,,167,,Zach Ertz,ErtzZa00
2014,24,PHI,TE,86.0,16,5,588,,0,,210,,Zach Ertz,ErtzZa00
2015,25,PHI,TE,86.0,15,7,789,,0,,83,,Zach Ertz,ErtzZa00
2016,26,PHI,TE,86.0,14,12,849,,0,,137,,Zach Ertz,ErtzZa00
2017*,27,PHI,TE,86.0,14,13,776,,0,,83,,Zach Ertz,ErtzZa00
2018*,28,PHI,TE,86.0,16,16,1000,,0,,2,,Zach Ertz,ErtzZa00
2019*,29,PHI,TE,86.0,15,15,932,,0,,3,,Zach Ertz,ErtzZa00
2020,30,PHI,TE,86.0,11,11,635,,0,,10,,Zach Ertz,ErtzZa00
2021,31,2TM,TE,,17,14,849,,0,,1,,Zach Ertz,ErtzZa00
2022,32,ARI,TE,86.0,10,10,575,,0,,3,,Zach Ertz,ErtzZa00
2023,33,ARI,TE,86.0,7,7,295,,0,,0,,Zach Ertz,ErtzZa00
2024,34,WAS,TE,86.0,17,17,771,,0,,2,,Zach Ertz,ErtzZa00
2025,35,WAS,TE,86.0,13,13,551,,0,,1,,Zach Ertz,ErtzZa00
