Season_stats,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%_stats,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR_stats,Sk,Yds_Lost,Sk%,NY/A,ANY/A_stats,4QC,GWD,AV,Awards,Player,PlayerID,QB_normalized,QB,Season_rankings,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards.1,YPC,TDs.1,TD%_rankings,INT%,TD%-INT%,Success,Passer Rtg,ANY/A_rankings,QB Elo,QBR_rankings,Rushing,Sacks.1,Inc,INTs.1,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
2025,29,BUF,QB,17,17,12-5-0,319,460,69.3,3668,25,5.4,10,2.2,177,48.2,54.0,8.0,8.08,11.5,215.8,102.2,65.4,40,298,8.0,6.74,6.84,4,4,18,"PB,AP MVP-3",Josh Allen,AlleJo02,josh allen,Josh Allen,2025,16,3.21997,-0.0171667,-0.472433,145.009,0.235,319,459,0.695,3.5149,3668,7.9913,25,10,40,90,599,6.6556,14,0.0545,0.0218,0.0327,0.5138,102.374,6.8537,251.997,64.7,0.0637,0.0046,0.0402,0.0236,-0.0683,0.0912,0.0117,7.3181,-0.9651,11,5,0,3,7,0.4286,0.0054,3.3129
2025,26,NYJ,QB,9,9,2-7-0,128,204,62.7,1259,7,3.4,1,0.5,58,42.0,42.0,6.2,6.64,9.8,139.9,89.5,38.7,27,192,11.69,4.62,5.03,1,2,6,,Justin Fields,FielJu00,justin fields,Justin Fields,2025,9,-1.10505,0.217464,-1.01745,-10.985,-0.036,128,202,0.6337,-1.8688,1242,6.1485,7,1,27,65,387,5.9538,4,0.0347,0.005,0.0297,0.4492,89.9959,5.0,128.06,,0.019,-0.0323,0.0324,0.0611,-0.0454,-0.1097,-0.0296,6.8267,-2.1485,2,7,0,1,4,0.25,-0.004,-1.2298
2025,27,LAC,QB,16,16,11-5-0,340,512,66.4,3727,26,5.1,13,2.5,175,47.2,60.0,7.3,7.15,11.0,232.9,94.1,60.6,54,301,9.54,6.05,5.94,3,3,14,PB,Justin Herbert,HerbJu00,justin herbert,Justin Herbert,2025,16,-0.492452,-0.0482776,-0.709684,56.5731,0.0848,340,512,0.6641,1.5749,3727,7.2793,26,13,54,71,510,7.1831,2,0.0508,0.0254,0.0254,0.4873,94.0999,5.9382,159.815,60.8,0.0242,-0.0229,0.023,-0.0209,0.0208,-0.0086,0.0009,7.834,-1.0059,11,5,0,3,5,0.6,0.0024,1.6238
2025,37,ATL,QB,10,8,5-3-0,166,269,61.7,1721,10,3.7,5,1.9,86,44.3,49.0,6.4,6.3,10.4,172.1,84.8,47.6,13,79,4.61,5.82,5.73,1,2,5,,Kirk Cousins,CousKi00,kirk cousins,Kirk Cousins,2025,8,-0.611553,-0.5893,-1.40007,8.0912,0.0273,166,266,0.6241,-2.7993,1721,6.4699,10,5,13,7,17,2.4286,1,0.0376,0.0188,0.0188,0.4628,85.7456,5.7957,121.463,,-0.0225,0.0265,-0.0591,-0.0085,-0.0421,0.0526,0.012,7.0263,-1.9737,5,5,0,1,2,0.5,0.0022,0.6658
2025,28,ARI,QB,5,5,2-3-0,110,161,68.3,962,6,3.7,3,1.9,50,44.1,45.0,6.0,5.88,8.7,192.4,88.6,47.2,16,111,9.04,4.81,4.72,0,0,3,,Kyler Murray,MurrKy00,kyler murray,Kyler Murray,2025,5,0.79918,0.0366272,-0.835747,23.545,0.107,110,161,0.6832,-0.5288,962,5.9752,6,3,16,27,175,6.4815,1,0.0373,0.0186,0.0186,0.45,88.574,4.7232,151.272,,0.0082,0.0026,0.0482,0.0371,-0.0953,0.018,0.02,5.8447,-3.0683,2,3,0,0,2,0.0,0.0042,0.9272
2025,28,BAL,QB,13,13,6-7-0,192,302,63.6,2549,21,7.0,7,2.3,109,46.2,64.0,8.4,8.79,13.3,196.1,103.8,62.7,36,239,10.65,6.83,7.14,1,1,13,,Lamar Jackson,JackLa00,lamar jackson,Lamar Jackson,2025,13,0.256656,-0.0514948,-3.55537,41.3792,0.0995,192,300,0.64,1.7587,2549,8.4967,21,7,36,58,359,6.1897,2,0.07,0.0233,0.0467,0.476,104.431,7.1875,151.753,62.8,0.0263,-0.0536,0.0088,-0.0069,0.1054,-0.0529,0.004,8.8267,-0.2167,6,7,0,1,4,0.25,0.004,1.6794
2025,37,LAR,QB,17,17,12-5-0,388,597,65.0,4707,46,7.7,8,1.3,236,54.4,88.0,7.9,8.82,12.1,276.9,109.2,71.2,23,150,3.71,7.35,8.25,1,1,16,"PB,AP-1,AP MVP-1",Matthew Stafford,StafMa00,matthew stafford,Matthew Stafford,2025,17,2.6047,0.237283,2.33035,150.46,0.2273,388,594,0.6532,1.5916,4707,7.9242,46,8,23,9,22,2.4444,0,0.0774,0.0135,0.064,0.5347,109.736,8.2934,246.171,71.0,-0.0413,0.0337,-0.0231,0.0118,0.1549,0.0209,0.002,9.138,1.0253,12,5,0,1,5,0.2,0.0071,4.6973
2025,30,KAN,QB,14,14,6-8-0,315,502,62.7,3587,22,4.4,11,2.2,173,47.9,61.0,7.1,7.04,11.4,256.2,89.6,68.5,34,193,6.34,6.33,6.23,1,1,14,,Patrick Mahomes,MahoPa00,patrick mahomes,Patrick Mahomes,2025,14,1.24726,-0.561614,-1.18939,113.246,0.18,315,500,0.63,0.3364,3587,7.174,22,11,34,56,429,7.6607,5,0.044,0.022,0.022,0.4992,89.975,6.2528,213.872,68.8,0.0202,0.0417,0.0029,0.0029,-0.0185,0.0625,0.0002,8.1,-0.606,6,8,0,1,9,0.1111,0.0039,2.446
2025,28,SEA,QB,17,17,14-3-0,323,477,67.7,4048,25,5.2,14,2.9,178,50.0,67.0,8.5,8.21,12.5,238.1,99.1,55.6,27,186,5.36,7.66,7.4,2,4,13,PB,Sam Darnold,DarnSa00,sam darnold,Sam Darnold,2025,17,-1.00822,-0.170651,-0.285806,81.6553,0.1485,323,473,0.6829,5.2382,4048,8.5581,25,14,27,20,108,5.4,0,0.0529,0.0296,0.0233,0.5327,99.9339,7.464,161.236,55.7,-0.019,-0.0035,0.035,-0.0531,0.0721,0.0449,0.0042,7.9154,-0.9894,14,3,0,2,5,0.4,0.0018,0.9806
2025,26,JAX,QB,17,17,13-4-0,341,560,60.9,4007,29,5.2,12,2.1,194,45.8,63.0,7.2,7.23,11.8,235.7,91.0,58.3,41,247,6.82,6.26,6.32,3,5,15,"AP MVP-5,AP CPoY-4",Trevor Lawrence,LawrTr00,trevor lawrence,Trevor Lawrence,2025,17,1.41367,0.225724,1.55537,82.8678,0.1167,341,557,0.6122,-1.8818,4007,7.1939,29,12,41,73,368,5.0411,9,0.0521,0.0215,0.0305,0.4887,91.4535,6.3545,187.198,58.3,0.0099,0.015,-0.0167,0.0057,0.0862,-0.0567,0.0049,8.754,-0.377,13,4,0,3,6,0.5,0.0029,2.0453
2025,27,MIA,QB,14,14,6-8-0,260,384,67.7,2660,20,5.2,15,3.9,142,46.4,47.0,6.9,6.21,10.2,190.0,88.5,37.5,30,195,7.25,5.95,5.29,1,1,8,,Tua Tagovailoa,TagoTu00,tua tagovailoa,Tua Tagovailoa,2025,14,-1.32857,0.22737,-2.8891,3.1613,0.0071,260,382,0.6806,2.0203,2660,6.9634,20,15,30,11,44,4.0,0,0.0524,0.0393,0.0131,0.4449,88.9071,5.3155,109.311,37.0,-0.0332,-0.0026,0.0196,-0.0362,-0.0174,0.0409,-0.0326,6.8403,-1.911,6,8,0,1,5,0.2,-0.0002,-0.0947
