QB,Season,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards.1,YPC,TDs.1,TD%,INT%,TD%-INT%,Success,Passer Rtg,ANY/A,QB Elo,QBR,Rushing,Sacks.1,Inc,INTs.1,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
Jameis Winston,2025,2,-0.52988,0.247235,0.207612,24.1347,0.3017,37,66,0.5606,-3.0971,567,8.5909,2,2,3,5,25,5.0,1,0.0303,0.0303,0.0,0.4625,82.0707,7.3333,178.09,68.2,0.0229,0.0348,-0.0891,-0.0314,0.2972,-0.0345,0.0333,9.3788,1.3939,0,3,0,0,1,0.0,0.0046,0.3664
Kirk Cousins,2025,8,-0.611553,-0.5893,-1.40007,8.0912,0.0273,166,266,0.6241,-2.7993,1721,6.4699,10,5,13,7,17,2.4286,1,0.0376,0.0188,0.0188,0.4628,85.7456,5.7957,121.463,,-0.0225,0.0265,-0.0591,-0.0085,-0.0421,0.0526,0.012,7.0263,-1.9737,5,5,0,1,2,0.5,0.0022,0.6658
Jacoby Brissett,2025,12,-0.725004,-0.155347,1.18196,8.742,0.0148,315,484,0.6508,1.6353,3366,6.9545,23,8,43,35,169,4.8286,1,0.0475,0.0165,0.031,0.4635,94.2493,6.0304,176.229,41.1,-0.0165,-0.0431,-0.0027,0.0215,-0.0244,0.024,-0.0124,7.6384,-1.5847,2,12,0,0,6,0.0,-0.001,-0.5915
Tyler Shough,2025,9,-0.820522,0.205378,1.60368,5.508,0.0135,221,324,0.6821,1.6082,2384,7.358,10,6,31,37,197,5.3243,3,0.0309,0.0185,0.0123,0.4474,92.1553,5.969,168.511,49.2,0.0008,-0.0438,0.0518,0.011,-0.0028,-0.0489,-0.0231,8.3611,-0.571,5,6,0,2,4,0.5,0.0032,1.3005
Joe Flacco,2025,10,-0.872291,-0.397565,0.0528418,-35.0549,-0.0749,251,412,0.6092,-2.8235,2479,6.017,15,10,18,12,52,4.3333,1,0.0364,0.0243,0.0121,0.4295,79.9454,5.1419,138.003,40.6,-0.0145,0.012,-0.0406,-0.0262,-0.0559,-0.0141,-0.0039,7.3981,-1.5607,4,9,0,2,6,0.3333,-0.0021,-0.9818
Tyler Huntley,2025,2,-0.917534,0.300076,0.667059,16.7665,0.1747,52,66,0.7879,12.9309,426,6.4545,2,0,8,19,156,8.2105,0,0.0303,0.0,0.0303,0.5208,103.662,5.7838,227.737,80.8,0.1184,0.0085,0.0819,0.0787,-0.0454,-0.1148,-0.0185,6.5,-3.0303,2,2,0,0,1,0.0,0.0041,0.3925
Sam Darnold,2025,17,-1.00822,-0.170651,-0.285806,81.6553,0.1485,323,473,0.6829,5.2382,4048,8.5581,25,14,27,20,108,5.4,0,0.0529,0.0296,0.0233,0.5327,99.9339,7.464,161.236,55.7,-0.019,-0.0035,0.035,-0.0531,0.0721,0.0449,0.0042,7.9154,-0.9894,14,3,0,2,5,0.4,0.0018,0.9806
Marcus Mariota,2025,9,-1.0829,-0.335056,0.111455,11.5778,0.0381,139,225,0.6178,3.1971,1695,7.5333,10,7,16,44,303,6.8864,1,0.0444,0.0311,0.0133,0.4868,86.8056,6.112,152.579,,-0.0087,0.004,-0.0197,-0.0431,0.1225,-0.0826,-0.0029,10.1956,1.1867,2,8,0,0,1,0.0,0.0009,0.2651
Bryce Young,2025,16,-1.09074,0.231387,-0.00759583,13.653,0.0238,304,476,0.6387,0.9989,3011,6.3256,23,11,27,37,234,6.3243,2,0.0483,0.0231,0.0252,0.452,88.139,5.5149,132.658,47.7,-0.0031,0.005,-0.0134,-0.0122,-0.0343,0.003,0.0104,6.5147,-2.0126,8,8,0,4,8,0.5,0.0016,0.9404
Justin Fields,2025,9,-1.10505,0.217464,-1.01745,-10.985,-0.036,128,202,0.6337,-1.8688,1242,6.1485,7,1,27,65,387,5.9538,4,0.0347,0.005,0.0297,0.4492,89.9959,5.0,128.06,,0.019,-0.0323,0.0324,0.0611,-0.0454,-0.1097,-0.0296,6.8267,-2.1485,2,7,0,1,4,0.25,-0.004,-1.2298
Malik Willis,2025,1,-1.22617,1.18608,1.18608,41.0481,0.733,30,35,0.8571,21.9849,422,12.0571,3,0,3,16,127,7.9375,2,0.0857,0.0,0.0857,0.6964,145.476,12.2895,466.24,93.3,0.1914,0.044,0.1715,0.0787,0.2591,-0.0671,-0.0129,10.1143,1.6286,2,2,0,0,0,,0.0207,1.1594
Davis Mills,2025,3,-1.29034,0.156083,0.53834,-10.6874,-0.0584,91,159,0.5723,-6.6134,915,5.7547,5,1,8,9,63,7.0,1,0.0314,0.0063,0.0252,0.4098,81.6169,5.4491,178.798,,-0.0068,0.0203,-0.0864,0.0485,0.1015,-0.1912,-0.0127,8.5535,-0.239,5,1,0,2,2,1.0,0.0004,0.0709
Mason Rudolph,2025,1,-1.30054,-0.0940161,-0.0940161,6.1037,0.1001,38,52,0.7308,5.7623,310,5.9615,2,2,2,3,7,2.3333,0,0.0385,0.0385,0.0,0.5246,84.6154,4.5926,110.534,,-0.0087,-0.0023,0.1334,-0.055,-0.3614,0.3109,0.0147,5.2308,-2.9038,1,3,0,0,1,0.0,-0.0038,-0.2298
Tua Tagovailoa,2025,14,-1.32857,0.22737,-2.8891,3.1613,0.0071,260,382,0.6806,2.0203,2660,6.9634,20,15,30,11,44,4.0,0,0.0524,0.0393,0.0131,0.4449,88.9071,5.3155,109.311,37.0,-0.0332,-0.0026,0.0196,-0.0362,-0.0174,0.0409,-0.0326,6.8403,-1.911,6,8,0,1,5,0.2,-0.0002,-0.0947
Michael Penix Jr.,2025,9,-1.36917,0.108951,0.265782,19.7522,0.0612,166,276,0.6014,-3.6197,1982,7.1812,9,3,13,13,77,5.9231,1,0.0326,0.0109,0.0217,0.4768,88.4662,6.6644,138.634,57.1,0.0052,0.0156,-0.0706,0.0208,0.0698,-0.0577,0.0094,8.3333,-0.529,3,6,0,0,4,0.0,0.0035,1.1247
Trey Lance,2025,1,-1.66072,-0.433122,-0.433122,-36.3424,-0.4782,27,53,0.5094,-9.7815,226,4.2642,0,1,6,15,87,5.8,0,0.0,0.0189,-0.0189,0.3026,54.4418,2.322,13.7489,,0.0136,-0.0835,-0.0365,-0.0173,-0.1617,-0.2216,-0.0397,10.0943,0.6792,1,3,0,0,0,,-0.0059,-0.4466
Jake Browning,2025,3,-1.69385,0.134011,-0.769697,-35.7222,-0.232,81,125,0.648,0.3757,771,6.168,6,8,9,8,40,5.0,1,0.048,0.064,-0.016,0.4351,71.1167,3.5149,58.974,,0.0134,0.009,0.0286,-0.1748,-0.0823,-0.1394,0.045,7.672,-1.528,1,4,0,1,1,1.0,-0.0004,-0.0545
